Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,Ligue,Saison,Home_form,Away_form,Home_avg_scored,Home_avg_conceded,Away_avg_scored,Away_avg_conceded,Form_diff,Avg_scored_diff,Avg_conceded_diff
2020-09-12,Eibar,Celta,0,0,D,0,0,D,8,6,1,3,3,3,4,4,1,0,LL,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-12,Liverpool,Leeds,4,3,H,3,2,H,22,6,6,3,9,0,1,0,0,0,PL,22_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-12,West Ham,Newcastle,0,2,A,0,0,D,15,15,3,2,8,7,2,2,0,0,PL,22_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-12,Crystal Palace,Southampton,1,0,H,1,0,H,5,9,3,5,7,3,2,1,0,0,PL,22_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-12,Fulham,Arsenal,0,3,A,0,1,A,5,13,2,6,2,3,2,2,0,0,PL,22_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-12,Cadiz,Osasuna,0,2,A,0,1,A,12,6,3,4,6,2,2,2,0,0,LL,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-12,Granada,Ath Bilbao,2,0,H,0,0,D,4,9,2,2,1,2,3,4,0,0,LL,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-13,Villarreal,Huesca,1,1,D,0,1,A,15,10,4,3,6,6,1,1,0,0,LL,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-13,Alaves,Betis,0,1,A,0,0,D,7,11,2,4,6,4,3,3,0,0,LL,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-13,Tottenham,Everton,0,1,A,0,0,D,9,15,5,4,5,3,1,0,0,0,PL,22_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-13,West Brom,Leicester,0,3,A,0,0,D,7,13,1,7,2,5,1,1,0,0,PL,22_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-13,Valladolid,Sociedad,1,1,D,1,0,H,8,8,3,2,5,3,4,1,0,0,LL,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-13,Valencia,Levante,4,2,H,2,2,D,14,19,8,8,3,4,1,3,0,0,LL,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-14,Brighton,Chelsea,1,3,A,0,1,A,13,10,3,5,4,3,1,0,0,0,PL,22_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-14,Sheffield United,Wolves,0,2,A,0,2,A,9,11,2,4,12,5,2,1,0,0,PL,22_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-19,Celta,Valencia,2,1,H,1,0,H,23,9,6,3,6,6,3,1,0,0,LL,20_21,1,3,0.0,0.0,4.0,2.0,-2,-4.0,-2.0
2020-09-19,Getafe,Osasuna,1,0,H,0,0,D,7,10,1,3,4,1,4,2,0,0,LL,20_21,0,3,0.0,0.0,2.0,0.0,-3,-2.0,0.0
2020-09-19,Villarreal,Eibar,2,1,H,0,0,D,14,12,8,4,4,3,1,1,0,0,LL,20_21,1,1,1.0,1.0,0.0,0.0,0,1.0,1.0
2020-09-19,Fiorentina,Torino,1,0,H,0,0,D,17,6,8,3,4,1,3,1,0,0,SA,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-19,Leeds,Fulham,4,3,H,2,1,H,10,14,7,6,5,3,1,2,0,0,PL,22_21,0,0,3.0,4.0,0.0,3.0,0,3.0,1.0
2020-09-19,Everton,West Brom,5,2,H,2,1,H,17,6,7,4,11,1,1,0,0,1,PL,22_21,3,0,1.0,0.0,0.0,3.0,3,1.0,-3.0
2020-09-19,Arsenal,West Ham,2,1,H,1,1,D,7,14,3,3,7,5,0,1,0,0,PL,22_21,3,0,3.0,0.0,0.0,2.0,3,3.0,-2.0
2020-09-19,Verona,Roma,0,0,D,0,0,D,9,15,7,7,0,6,2,0,0,0,SA,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-19,Man United,Crystal Palace,1,3,A,0,1,A,13,14,4,5,9,3,2,1,0,0,PL,22_21,0,3,0.0,0.0,1.0,0.0,-3,-1.0,0.0
2020-09-20,Southampton,Tottenham,2,5,A,1,1,D,14,9,7,6,3,2,4,3,0,0,PL,22_21,0,0,0.0,1.0,0.0,1.0,0,0.0,0.0
2020-09-20,Newcastle,Brighton,0,3,A,0,2,A,6,13,0,6,7,1,3,0,0,1,PL,22_21,3,0,2.0,0.0,1.0,3.0,3,1.0,-3.0
2020-09-20,Chelsea,Liverpool,0,2,A,0,0,D,5,18,3,6,1,11,0,0,1,0,PL,22_21,3,3,3.0,1.0,4.0,3.0,0,-1.0,-2.0
2020-09-20,Leicester,Burnley,4,2,H,1,1,D,14,16,6,5,15,4,1,2,0,0,PL,22_21,3,0,3.0,0.0,0.0,0.0,3,3.0,0.0
2020-09-20,Parma,Napoli,0,2,A,0,0,D,4,12,2,7,4,2,4,1,0,0,SA,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-20,Huesca,Cadiz,0,2,A,0,1,A,4,6,0,4,2,1,3,3,0,0,LL,20_21,1,0,1.0,1.0,0.0,2.0,1,1.0,-1.0
2020-09-20,Genoa,Crotone,4,1,H,3,1,H,10,11,8,5,6,4,4,2,0,0,SA,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-20,Sassuolo,Cagliari,1,1,D,0,0,D,21,8,10,4,7,3,1,3,0,0,SA,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-20,Juventus,Sampdoria,3,0,H,1,0,H,14,10,9,2,6,4,1,1,0,0,SA,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-20,Granada,Alaves,2,1,H,1,1,D,10,5,3,3,4,4,0,3,0,0,LL,20_21,3,0,2.0,0.0,0.0,1.0,3,2.0,-1.0
2020-09-20,Betis,Valladolid,2,0,H,2,0,H,16,9,6,2,5,3,3,0,0,0,LL,20_21,3,1,1.0,0.0,1.0,1.0,2,0.0,-1.0
2020-09-20,Sociedad,Real Madrid,0,0,D,0,0,D,6,16,1,4,1,11,2,2,0,0,LL,20_21,1,0,1.0,1.0,0.0,0.0,1,1.0,1.0
2020-09-21,Aston Villa,Sheffield United,1,0,H,0,0,D,18,4,2,1,10,4,3,1,0,1,PL,22_21,0,0,0.0,0.0,0.0,2.0,0,0.0,-2.0
2020-09-21,Wolves,Man City,1,3,A,0,2,A,10,14,1,9,4,6,0,3,0,0,PL,22_21,3,0,2.0,0.0,0.0,0.0,3,2.0,0.0
2020-09-21,Milan,Bologna,2,0,H,1,0,H,14,6,6,5,7,4,3,5,0,1,SA,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
